,sperm_id,total_distance,displacement,time_elapsed,vcl,vsl,vap,alh,mad,lin,wob,str,bcf,label
0,1.0,19.67,0.71,2.22,3.11,0.11,3.27,0.33,1.56,0.04,1.05,0.03,1.8,2
1,2.0,543.44,61.39,3.66,52.1,5.89,53.0,81.1,1.43,0.11,1.02,0.11,0.0,1
2,5.0,38.49,1.21,3.26,4.14,0.13,4.52,0.78,1.6,0.03,1.09,0.03,0.92,2
3,8.0,375.33,28.99,29.38,4.48,0.35,4.43,8.7,1.54,0.08,0.99,0.08,0.34,2
4,9.0,620.78,53.37,10.3,21.15,1.82,22.05,23.1,1.45,0.09,1.04,0.08,0.87,1
5,15.0,1410.27,165.91,28.98,17.07,2.01,17.25,42.57,1.48,0.12,1.01,0.12,0.0,1
6,27.0,476.41,31.74,2.88,58.04,3.87,59.36,39.38,1.51,0.07,1.02,0.07,1.04,1
7,30.0,37.43,16.56,3.42,3.84,1.7,5.92,0.3,1.58,0.44,1.54,0.29,5.56,2
8,31.0,207.23,6.66,28.28,2.57,0.08,2.59,6.56,1.52,0.03,1.01,0.03,0.25,2
9,32.0,90.25,67.21,0.74,42.79,31.87,45.28,4.26,0.69,0.74,1.06,0.7,5.41,0
10,33.0,990.22,186.26,14.04,24.75,4.65,24.72,38.32,1.38,0.19,1.0,0.19,0.28,1
11,34.0,81.01,66.1,0.8,35.53,28.99,36.97,5.8,0.6,0.82,1.04,0.78,2.5,0
12,35.0,572.6,345.98,5.82,34.52,20.86,34.81,19.62,0.79,0.6,1.01,0.6,1.03,0
13,36.0,2832.13,311.75,29.3,33.92,3.73,34.01,98.13,1.41,0.11,1.0,0.11,0.38,0
14,37.0,411.74,65.54,4.48,32.25,5.13,32.52,51.97,1.3,0.16,1.01,0.16,0.89,1
15,38.0,788.79,393.07,6.6,41.93,20.9,42.11,74.12,0.94,0.5,1.0,0.5,0.3,0
16,39.0,435.97,89.69,4.44,34.45,7.09,34.91,16.07,1.34,0.21,1.01,0.2,1.8,1
17,40.0,645.82,95.79,5.8,39.07,5.79,39.49,38.78,1.37,0.15,1.01,0.15,0.69,1
18,41.0,1380.06,71.43,28.9,16.76,0.87,16.85,54.49,1.49,0.05,1.01,0.05,0.28,1
19,42.0,2704.26,436.39,16.18,58.64,9.46,60.33,129.79,1.41,0.16,1.03,0.16,0.37,0
20,43.0,285.93,118.73,3.92,25.59,10.63,26.1,38.36,1.04,0.42,1.02,0.41,1.53,0
21,44.0,155.49,24.25,0.96,56.83,8.86,60.3,11.59,1.39,0.16,1.06,0.15,2.08,1
22,45.0,1257.37,44.75,6.8,64.88,2.31,66.71,19.96,1.54,0.04,1.03,0.03,2.94,1
23,47.0,1159.08,303.79,16.5,24.65,6.46,25.14,104.31,1.34,0.26,1.02,0.26,0.06,0
24,48.0,904.79,96.94,5.82,54.55,5.84,56.97,21.57,1.31,0.11,1.04,0.1,1.55,1
25,49.0,1848.65,176.75,13.3,48.77,4.66,49.39,76.97,1.43,0.1,1.01,0.09,0.53,1
26,50.0,335.32,224.12,4.54,25.92,17.32,25.93,33.52,0.68,0.67,1.0,0.67,1.32,0
27,53.0,55.35,0.79,16.9,1.15,0.02,1.2,0.86,1.57,0.02,1.04,0.02,0.36,2
28,55.0,786.86,522.29,4.54,60.81,40.37,63.79,50.23,0.71,0.66,1.05,0.63,0.66,0
29,58.0,1578.63,407.35,12.06,45.93,11.85,47.38,45.32,1.21,0.26,1.03,0.25,0.75,1
30,60.0,377.98,118.99,2.84,46.7,14.7,51.47,54.64,1.09,0.31,1.1,0.29,0.0,1
31,69.0,2585.47,34.6,14.74,61.55,0.82,62.18,36.8,1.54,0.01,1.01,0.01,2.31,1
32,71.0,1626.51,595.97,12.74,44.8,16.41,45.09,117.89,1.07,0.37,1.01,0.36,0.55,0
33,74.0,533.89,384.02,3.86,48.53,34.91,50.81,36.92,0.63,0.72,1.05,0.69,1.04,0
34,75.0,995.22,38.95,6.6,52.91,2.07,53.79,42.13,1.54,0.04,1.02,0.04,1.97,1
35,76.0,20.25,0.37,4.66,1.52,0.03,1.56,0.23,1.53,0.02,1.03,0.02,7.3,2
36,79.0,175.63,51.92,1.7,36.25,10.72,36.99,27.59,1.24,0.3,1.02,0.29,1.18,1
37,84.0,493.14,239.14,3.44,50.3,24.39,50.55,10.4,0.96,0.48,1.0,0.48,3.2,0
38,87.0,139.66,128.28,1.72,28.49,26.17,28.51,8.5,0.33,0.92,1.0,0.92,1.16,0
39,90.0,109.61,36.55,0.56,68.68,22.9,70.43,15.29,1.04,0.33,1.03,0.33,3.57,1
40,91.0,468.81,40.56,16.72,9.84,0.85,9.97,11.27,1.55,0.09,1.01,0.09,0.6,1
41,93.0,1939.75,343.68,16.88,40.32,7.14,40.65,88.04,1.3,0.18,1.01,0.18,0.95,0
42,94.0,917.26,451.68,5.66,56.86,28.0,58.22,85.82,0.96,0.49,1.02,0.48,0.35,0
43,104.0,105.99,23.64,0.86,43.24,9.65,44.68,9.08,1.29,0.22,1.03,0.22,2.33,1
44,112.0,646.73,372.42,5.94,38.2,22.0,38.97,70.98,0.8,0.58,1.02,0.56,1.35,0
45,116.0,738.1,28.83,5.24,49.42,1.93,50.07,25.02,1.51,0.04,1.01,0.04,1.53,1
46,117.0,299.92,38.48,2.08,50.59,6.49,51.28,15.71,1.33,0.13,1.01,0.13,0.0,1
47,120.0,44.02,0.81,11.18,1.38,0.03,1.39,0.44,1.57,0.02,1.01,0.02,0.54,2
48,127.0,909.73,306.83,7.66,41.67,14.05,42.18,86.08,1.11,0.34,1.01,0.33,0.13,0
49,129.0,745.94,65.09,4.42,59.22,5.17,60.83,23.14,1.51,0.09,1.03,0.08,2.26,1
50,130.0,227.24,171.33,3.58,22.27,16.79,22.54,14.32,0.65,0.75,1.01,0.74,1.4,0
51,136.0,79.0,48.81,0.6,46.2,28.54,47.79,6.36,0.93,0.62,1.03,0.6,3.33,0
52,141.0,628.07,184.79,4.42,49.86,14.67,50.57,21.44,1.2,0.29,1.01,0.29,2.71,1
53,144.0,323.11,226.67,2.4,47.24,33.14,47.91,6.12,0.71,0.7,1.01,0.69,3.33,0
54,147.0,1203.08,603.58,7.08,59.62,29.91,61.02,18.83,0.99,0.5,1.02,0.49,1.69,0
55,153.0,856.25,45.77,18.74,16.03,0.86,16.04,29.69,1.5,0.05,1.0,0.05,0.8,1
56,154.0,134.32,26.5,1.2,39.27,7.75,41.37,23.07,1.28,0.2,1.05,0.19,1.67,1
57,160.0,78.94,55.89,0.54,51.29,36.32,52.85,4.64,0.65,0.71,1.03,0.69,3.7,0
58,161.0,277.16,47.69,1.7,57.21,9.84,59.27,13.09,1.36,0.17,1.04,0.17,3.53,1
59,170.0,761.29,177.72,4.82,55.42,12.94,56.41,78.2,1.3,0.23,1.02,0.23,0.83,1
60,171.0,179.26,127.25,3.9,16.13,11.45,16.21,11.54,0.71,0.71,1.0,0.71,1.28,0
61,173.0,84.91,56.42,0.68,43.81,29.11,47.02,3.47,0.75,0.66,1.07,0.62,5.88,0
62,174.0,232.59,183.71,3.44,23.72,18.74,24.09,14.87,0.57,0.79,1.02,0.78,0.58,0
63,181.0,352.98,65.03,2.2,56.3,10.37,57.19,27.2,1.34,0.18,1.02,0.18,2.73,1
64,185.0,1821.09,501.91,14.18,45.06,12.42,45.19,44.86,1.24,0.28,1.0,0.27,0.99,1
65,189.0,708.13,174.14,4.78,51.98,12.78,52.48,25.65,1.27,0.25,1.01,0.24,2.09,1
66,190.0,334.78,202.39,4.08,28.79,17.41,29.9,30.63,0.77,0.6,1.04,0.58,0.98,0
67,191.0,680.84,55.46,6.82,35.03,2.85,35.27,28.25,1.42,0.08,1.01,0.08,0.44,1
68,194.0,179.06,86.82,1.4,44.88,21.76,47.47,25.4,1.0,0.48,1.06,0.46,5.71,0
69,199.0,122.41,85.16,2.72,15.79,10.99,16.21,5.26,1.0,0.7,1.03,0.68,0.37,0
70,201.0,1230.61,33.27,8.76,49.29,1.33,49.49,27.44,1.52,0.03,1.0,0.03,1.26,1
71,205.0,1812.56,190.61,12.54,50.72,5.33,51.64,50.02,1.45,0.11,1.02,0.1,0.4,1
72,206.0,1958.84,66.5,12.96,53.03,1.8,53.49,38.46,1.52,0.03,1.01,0.03,0.93,1
73,207.0,193.82,8.17,1.98,34.35,1.45,36.67,33.46,1.56,0.04,1.07,0.04,1.52,1
74,209.0,75.47,69.32,0.88,30.09,27.64,31.07,2.41,0.34,0.92,1.03,0.89,6.82,0
75,211.0,358.48,134.1,2.26,55.66,20.82,56.72,33.78,1.13,0.37,1.02,0.37,1.77,1
76,214.0,721.67,107.31,10.08,25.12,3.74,26.08,52.88,1.42,0.15,1.04,0.14,0.89,1
77,219.0,398.32,293.49,3.36,41.6,30.65,41.96,17.69,0.67,0.74,1.01,0.73,2.08,0
78,220.0,56.22,0.17,11.82,1.67,0.01,1.65,0.86,1.56,0.01,0.99,0.01,1.52,2
79,221.0,8.64,1.79,1.9,1.6,0.33,1.61,0.27,1.32,0.21,1.01,0.2,5.26,2
80,224.0,1189.9,172.8,8.5,49.12,7.13,50.85,37.94,1.43,0.15,1.04,0.14,1.65,1
81,228.0,287.61,169.31,2.06,48.99,28.84,50.18,20.1,0.82,0.59,1.02,0.57,2.91,0
82,229.0,262.14,143.66,2.64,34.84,19.09,36.74,38.79,0.87,0.55,1.05,0.52,0.0,0
83,230.0,200.99,158.01,1.82,38.75,30.46,39.43,11.46,0.58,0.79,1.02,0.77,2.2,0
84,235.0,39.46,1.15,10.14,1.37,0.04,1.34,0.27,1.53,0.03,0.98,0.03,6.11,2
85,237.0,258.19,210.74,2.28,39.73,32.43,40.09,13.76,0.54,0.82,1.01,0.81,0.44,0
86,238.0,164.44,29.08,7.54,7.65,1.35,8.32,9.53,1.41,0.18,1.09,0.16,1.33,1
87,242.0,900.09,529.65,7.8,40.49,23.83,40.64,46.66,0.85,0.59,1.0,0.59,0.0,0
88,243.0,272.55,151.36,1.78,53.73,29.84,54.63,23.4,0.82,0.56,1.02,0.55,2.25,0
89,245.0,192.33,79.88,1.0,67.48,28.03,70.71,12.35,1.06,0.42,1.05,0.4,2.0,1
90,250.0,292.62,41.07,3.5,29.34,4.12,30.71,13.45,1.42,0.14,1.05,0.13,2.57,1
91,252.0,748.91,241.87,7.98,32.93,10.63,33.08,44.73,1.13,0.32,1.0,0.32,0.5,1
92,260.0,46.65,31.24,0.48,34.1,22.84,35.33,3.05,0.73,0.67,1.04,0.65,2.08,0
93,262.0,367.35,263.9,6.88,18.73,13.46,18.85,13.66,0.64,0.72,1.01,0.71,0.29,0
94,263.0,159.19,10.19,6.24,8.95,0.57,8.86,11.73,1.53,0.06,0.99,0.06,0.48,1
95,266.0,879.25,262.12,5.36,57.56,17.16,62.56,42.11,1.16,0.3,1.09,0.27,1.12,1
96,272.0,556.59,306.17,3.62,53.95,29.68,54.42,30.33,0.91,0.55,1.01,0.55,2.21,0
97,276.0,782.93,115.88,5.9,46.56,6.89,46.92,45.16,1.4,0.15,1.01,0.15,0.68,1
98,280.0,453.95,207.1,2.8,56.89,25.95,57.97,21.45,0.94,0.46,1.02,0.45,1.43,0
99,282.0,461.61,30.99,3.4,47.64,3.2,48.35,24.21,1.48,0.07,1.01,0.07,1.47,1
100,283.0,710.5,370.48,5.04,49.46,25.79,49.88,55.55,0.87,0.52,1.01,0.52,1.98,0
101,284.0,220.24,36.51,2.22,34.81,5.77,35.67,19.39,1.41,0.17,1.02,0.16,2.7,1
102,285.0,128.76,86.87,1.64,27.55,18.59,28.03,18.41,0.78,0.67,1.02,0.66,0.0,0
103,288.0,532.39,422.36,3.96,47.17,37.42,48.72,38.69,0.59,0.79,1.03,0.77,1.26,0
104,293.0,236.07,24.0,2.3,36.01,3.66,36.54,11.69,1.44,0.1,1.01,0.1,6.09,1
105,294.0,401.95,83.37,2.28,61.86,12.83,64.62,18.78,1.36,0.21,1.04,0.2,3.07,1
106,295.0,158.0,143.09,0.98,56.57,51.23,93.52,9.35,0.42,0.91,1.65,0.55,2.04,0
107,297.0,249.48,135.76,1.2,72.95,39.7,90.97,30.44,1.33,0.54,1.25,0.44,1.67,0
108,298.0,230.28,80.77,2.9,27.86,9.77,28.45,19.22,1.17,0.35,1.02,0.34,1.38,1
109,299.0,26.61,2.81,2.14,4.36,0.46,4.51,0.45,1.57,0.11,1.03,0.1,7.01,2
110,305.0,136.63,23.92,1.46,32.84,5.75,33.57,10.39,1.5,0.18,1.02,0.17,2.74,1
111,307.0,201.38,17.09,2.18,32.41,2.75,32.49,11.63,1.53,0.08,1.0,0.08,2.29,1
112,310.0,272.32,250.12,1.38,69.24,63.6,79.87,6.79,0.37,0.92,1.15,0.8,1.45,0
113,311.0,259.54,174.24,1.74,52.34,35.14,53.13,8.97,0.69,0.67,1.02,0.66,1.72,0
114,316.0,118.9,98.53,1.06,39.36,32.62,39.98,5.39,0.52,0.83,1.02,0.82,1.89,0
